Model,Scenario,Region_Category,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100
REMIND-MAgPIE 3.3-4.8,Below 2?C,World,World,GDP|PPP|Counterfactual without damage,billion US$2010/yr,119570.3733,138493.1589,159662.0539,182125.3583,204641.8366,228492.285,254133.9389,280950.7041,309322.2499,372519.7235,441304.2352,509710.3269,585571.0554
REMIND-MAgPIE 3.3-4.8,Current Policies,World,World,GDP|PPP|Counterfactual without damage,billion US$2010/yr,119570.3733,138197.5727,159743.7873,183065.6896,206594.1851,231134.5028,257102.4623,284229.4431,312211.9232,375385.355,443837.1689,511529.7337,586178.7111
REMIND-MAgPIE 3.3-4.8,Delayed transition,World,World,GDP|PPP|Counterfactual without damage,billion US$2010/yr,119570.3733,138197.5727,159743.7873,182932.7168,202704.4934,225149.0944,250149.0095,276593.5326,304705.5464,367487.5743,436549.6815,505730.3968,582043.3943
REMIND-MAgPIE 3.3-4.8,Fragmented World,World,World,GDP|PPP|Counterfactual without damage,billion US$2010/yr,119570.3733,138197.5727,159743.7873,183194.5891,205663.7668,229960.1707,255766.185,282469.104,310739.225,374421.5204,443764.005,512583.2721,588662.0497
REMIND-MAgPIE 3.3-4.8,Low demand,World,World,GDP|PPP|Counterfactual without damage,billion US$2010/yr,119570.3733,138895.2575,158930.089,180638.2478,202892.449,226831.3409,253201.2634,281333.9325,309921.7339,374278.1533,443242.5416,511095.4275,586665.8794
REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,World,GDP|PPP|Counterfactual without damage,billion US$2010/yr,119570.3733,138243.9391,159003.2472,181542.2197,204431.0199,228810.1337,255017.1732,282191.5413,310440.0384,373666.737,443064.6419,511615.5327,587155.9572
REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,World,GDP|PPP|Counterfactual without damage,billion US$2010/yr,119570.3733,138229.472,157208.8713,177245.9945,197905.6141,220844.8529,246283.1051,274135.5644,302453.8136,365817.5092,435390.1061,504798.992,581146.9682
REMIND-MAgPIE 3.3-4.8,Below 2?C,R5,OECD & EU (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,50665.97482,55380.46898,60043.64582,64614.99357,68996.09158,73481.24632,78220.40974,82845.15995,87198.8729,96291.16439,104900.2476,112164.577,119081.3259
REMIND-MAgPIE 3.3-4.8,Below 2?C,R5,Asia (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,42866.88591,53742.32063,66080.89245,78500.6495,90341.22954,102481.2722,115017.1258,127549.6409,140407.7435,167532.1754,194121.9844,217131.6315,241082.2937
REMIND-MAgPIE 3.3-4.8,Below 2?C,R5,Reforming Economies (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,5332.541403,5943.37417,6479.820917,7081.491141,7625.648091,8216.934962,8916.130637,9741.339549,10748.84676,12852.60833,15323.89758,17820.83629,20783.21542
REMIND-MAgPIE 3.3-4.8,Below 2?C,R5,Latin America (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,9564.723973,10565.97033,11839.58177,13400.99773,15216.54025,17264.10046,19613.41465,22152.62612,24775.4222,30685.67223,37068.60893,42878.85231,49218.61499
REMIND-MAgPIE 3.3-4.8,Below 2?C,R5,Middle East & Africa (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,11140.24715,12861.02475,15218.11294,18527.22632,22462.32712,27048.73105,32366.85812,38661.93754,46191.36446,65158.10321,89889.49667,119714.4297,155405.6054
REMIND-MAgPIE 3.3-4.8,Current Policies,R5,OECD & EU (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,50665.97482,55306.47926,60034.93693,64783.72857,69323.16441,73847.48727,78455.51472,83020.70604,87241.41256,96207.31366,104741.2111,111913.7447,118645.0408
REMIND-MAgPIE 3.3-4.8,Current Policies,R5,Asia (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,42866.88591,53610.66468,66016.51146,78745.07518,90925.24458,103172.0625,115692.366,128363.0485,141027.0022,167839.9835,194379.9261,217212.0914,240775.2852
REMIND-MAgPIE 3.3-4.8,Current Policies,R5,Reforming Economies (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,5332.541403,5954.881313,6596.503633,7328.82604,8080.150726,8833.813891,9599.497102,10348.20977,11286.15775,13328.56196,15643.04996,18014.98688,20931.13664
REMIND-MAgPIE 3.3-4.8,Current Policies,R5,Latin America (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,9564.723973,10523.58722,11846.99681,13492.7062,15406.20278,17579.19166,19975.80637,22542.62499,25133.92515,31195.41117,37578.10691,43357.70947,49542.22221
REMIND-MAgPIE 3.3-4.8,Current Policies,R5,Middle East & Africa (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,11140.24715,12801.96027,15248.83845,18715.35363,22859.42258,27701.94747,33379.27809,39954.85376,47523.42549,66814.08475,91494.87491,121031.2013,156285.0261
REMIND-MAgPIE 3.3-4.8,Delayed transition,R5,OECD & EU (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,50665.97482,55306.47926,60034.93693,64682.94142,68232.79957,72424.30277,77011.67669,81551.58925,85869.481,94801.56742,103500.781,111258.8149,118239.1039
REMIND-MAgPIE 3.3-4.8,Delayed transition,R5,Asia (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,42866.88591,53610.66468,66016.51146,78836.63851,89431.15914,100979.8845,113115.2822,125439.3,138129.6857,165360.0664,192285.3398,215485.2664,239650.5401
REMIND-MAgPIE 3.3-4.8,Delayed transition,R5,Reforming Economies (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,5332.541403,5954.881313,6596.503633,7157.685523,7259.640421,7505.909669,8227.079351,9162.229164,10277.26779,12360.22636,14682.78624,17212.09988,20293.39825
REMIND-MAgPIE 3.3-4.8,Delayed transition,R5,Latin America (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,9564.723973,10523.58722,11846.99681,13485.55679,15244.93717,17321.74174,19645.58134,22125.80694,24678.80297,30550.81272,36986.38741,42883.54727,49276.98358
REMIND-MAgPIE 3.3-4.8,Delayed transition,R5,Middle East & Africa (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,11140.24715,12801.96027,15248.83845,18769.89454,22535.9571,26917.25566,32149.38986,38314.60727,45750.30895,64414.90135,89094.38707,118890.6683,154583.3686
REMIND-MAgPIE 3.3-4.8,Fragmented World,R5,OECD & EU (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,50665.97482,55306.47926,60034.93693,64826.31119,69049.79665,73274.39376,77720.08345,82242.06471,86618.67363,95728.88483,104320.5708,111686.9099,118748.0011
REMIND-MAgPIE 3.3-4.8,Fragmented World,R5,Asia (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,42866.88591,53610.66468,66016.51146,78863.40381,90650.60975,103023.9355,115633.7762,128101.1931,140907.7923,167984.1875,194688.2656,217693.7916,241719.9586
REMIND-MAgPIE 3.3-4.8,Fragmented World,R5,Reforming Economies (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,5332.541403,5954.881313,6596.503633,7258.604244,7801.422102,8431.092096,9010.193488,9630.762611,10513.78152,12666.71324,15211.12244,17690.17973,20689.3189
REMIND-MAgPIE 3.3-4.8,Fragmented World,R5,Latin America (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,9564.723973,10523.58722,11846.99681,13468.33278,15248.77767,17375.18199,19745.02462,22220.58944,24792.64822,30774.22116,37252.88494,43102.10385,49391.27144
REMIND-MAgPIE 3.3-4.8,Fragmented World,R5,Middle East & Africa (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,11140.24715,12801.96027,15248.83845,18777.93712,22913.16059,27855.5673,33657.10732,40274.49422,47906.32927,67267.51366,92291.16117,122410.287,158113.4997
REMIND-MAgPIE 3.3-4.8,Low demand,R5,OECD & EU (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,50665.97482,55537.55682,59816.64109,64224.26068,68555.35956,73262.65645,78121.32015,82762.275,87159.08723,96459.49261,104750.0059,111948.8723,118997.9359
REMIND-MAgPIE 3.3-4.8,Low demand,R5,Asia (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,42866.88591,53898.57911,65768.83119,77884.98277,89560.56038,101358.1034,113953.3682,127116.392,140264.1956,167702.5562,194703.277,217291.4942,240909.9875
REMIND-MAgPIE 3.3-4.8,Low demand,R5,Reforming Economies (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,5332.541403,5972.214543,6411.266269,6899.433122,7512.496927,8341.06808,9215.149372,10095.04556,11023.71466,13165.16043,15572.19108,18019.68883,20882.16854
REMIND-MAgPIE 3.3-4.8,Low demand,R5,Latin America (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,9564.723973,10583.73928,11811.38698,13355.25659,15186.30185,17285.73478,19670.16377,22280.71033,24856.21144,30784.9436,37201.48557,43055.7407,49258.9862
REMIND-MAgPIE 3.3-4.8,Low demand,R5,Middle East & Africa (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,11140.24715,12903.16776,15121.96343,18274.31461,22077.73031,26583.77822,32241.26186,39079.50961,46618.52499,66166.00052,91015.58204,120779.6314,156616.8013
REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),R5,OECD & EU (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,50665.97482,55249.51238,59533.58987,64018.00425,68423.46494,72831.99207,77455.14044,82096.81264,86484.58249,95570.39933,104312.7996,111715.0428,118513.4134
REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),R5,Asia (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,42866.88591,53656.69715,65951.59912,78427.37522,90367.86781,102770.9141,115593.7641,128309.3951,141188.1833,168140.3537,194823.5808,217743.1143,241562.2991
REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),R5,Reforming Economies (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,5332.541403,5952.029217,6580.883648,7270.965136,7913.419693,8587.544059,9306.355979,10055.42078,10900.62175,12922.43532,15373.6307,17784.85147,20754.67895
REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),R5,Latin America (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,9564.723973,10539.91396,11763.1804,13310.24893,15154.55619,17223.90462,19622.5876,22180.65223,24809.08906,30768.93236,37234.51731,43151.70297,49442.50111
REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),R5,Middle East & Africa (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,11140.24715,12845.78643,15173.99413,18515.62614,22571.71129,27395.77885,33039.32501,39549.26051,47057.56181,66264.61635,91320.11341,121220.8211,156883.0646
REMIND-MAgPIE 3.3-4.8,Net Zero 2050,R5,OECD & EU (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,50665.97482,55293.13103,59571.07998,63732.23235,67877.5306,72374.56327,77024.738,81646.66842,86085.49652,95300.1993,104026.1726,111691.8359,118640.546
REMIND-MAgPIE 3.3-4.8,Net Zero 2050,R5,Asia (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,42866.88591,53751.55166,65084.56337,76433.13961,87317.98614,98740.70816,111028.4585,124405.0367,137504.9493,165036.1478,191962.3812,214929.1224,238924.4844
REMIND-MAgPIE 3.3-4.8,Net Zero 2050,R5,Reforming Economies (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,5332.541403,5807.335512,5949.422966,6143.47218,6554.681415,7434.094277,8370.395214,9344.361765,10290.72023,12233.49284,14655.24614,17282.55612,20360.53023
REMIND-MAgPIE 3.3-4.8,Net Zero 2050,R5,Latin America (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,9564.723973,10542.08207,11734.76304,13229.22643,15047.77421,17006.39863,19279.11082,21751.63065,24337.75248,30000.63051,36428.33373,42603.99784,48796.45529
REMIND-MAgPIE 3.3-4.8,Net Zero 2050,R5,Middle East & Africa (R5),GDP|PPP|Counterfactual without damage,billion US$2010/yr,11140.24715,12835.37172,14869.04191,17707.92396,21107.64175,25289.08856,30580.4026,36987.86694,44234.89503,63247.03874,88317.97241,118291.4798,154424.9523
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,AGO,GDP|PPP|Counterfactual without damage,billion US$2010/yr,187.7755,210.0462,249.3731,300.9287,362.6339,446.6823,558.1454,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,ALB,GDP|PPP|Counterfactual without damage,billion US$2010/yr,33.7395,39.1618,46.2497,52.7608,58.8165,64.4848,69.5405,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,ARE,GDP|PPP|Counterfactual without damage,billion US$2010/yr,602.9458,716.0096,872.8219,994.6709,1049.9635,1118.3451,1173.9302,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,ARG,GDP|PPP|Counterfactual without damage,billion US$2010/yr,764.3911,897.8201,1014.7926,1114.4171,1217.8641,1362.8306,1519.0349,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,ARM,GDP|PPP|Counterfactual without damage,billion US$2010/yr,36.2215,49.6158,59.3312,67.2096,77.2918,85.8066,93.1293,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,AUS,GDP|PPP|Counterfactual without damage,billion US$2010/yr,1117.723,1276.4346,1447.264,1638.6051,1837.9581,2071.2354,2326.7014,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,AUT,GDP|PPP|Counterfactual without damage,billion US$2010/yr,420.9712,447.9161,491.852,525.1618,556.522,590.0305,622.3241,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,AZE,GDP|PPP|Counterfactual without damage,billion US$2010/yr,133.8384,156.1162,168.8897,176.0056,193.1572,212.6206,235.4957,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,BEL,GDP|PPP|Counterfactual without damage,billion US$2010/yr,510.4723,559.5299,605.5783,646.4172,681.6273,717.0922,752.2756,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,BEN,GDP|PPP|Counterfactual without damage,billion US$2010/yr,37.1488,49.5034,66.2988,89.5091,116.2519,149.4444,190.632,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,BGD,GDP|PPP|Counterfactual without damage,billion US$2010/yr,973.2667,1381.1755,1927.2905,2523.6282,3131.4129,3884.735,4684.4546,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,BGR,GDP|PPP|Counterfactual without damage,billion US$2010/yr,146.4466,172.1291,197.03,218.9611,236.4144,252.2684,267.0669,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,BHR,GDP|PPP|Counterfactual without damage,billion US$2010/yr,68.0316,75.7331,85.6282,94.5935,99.6845,107.9329,116.8561,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,BIH,GDP|PPP|Counterfactual without damage,billion US$2010/yr,42.5641,47.274,54.6877,60.7485,64.8387,67.7563,69.9264,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,BLR,GDP|PPP|Counterfactual without damage,billion US$2010/yr,169.5887,212.654,211.7482,209.8975,221.627,234.483,248.7444,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,BOL,GDP|PPP|Counterfactual without damage,billion US$2010/yr,92.9665,105.9384,118.6651,135.5933,159.2504,192.6393,233.0822,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,BRA,GDP|PPP|Counterfactual without damage,billion US$2010/yr,2779.3128,3119.347,3380.3541,3791.9663,4313.1628,5036.7077,5828.9836,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,BRN,GDP|PPP|Counterfactual without damage,billion US$2010/yr,26.0859,27.1666,31.5082,34.8501,36.9571,39.444,41.253,,,,,,
