Model,Scenario,Region_Category,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
GCAM 6.0 NGFS,Below 2?C,World,World,Emissions|CO2,Mt CO2/yr,38705.33119,37212.76482,29528.6476,24553.13111,19551.36013,14659.50619,9870.169452,6177.486421,2519.895036,-433.955563,-2445.623928,-4368.589388,-4392.425594,-4398.289364,-4377.927123,-4332.397565,-4276.535746
GCAM 6.0 NGFS,Current Policies,World,World,Emissions|CO2,Mt CO2/yr,38705.33229,38516.37245,37914.1854,38847.9384,39593.82588,40146.35359,40556.71733,41279.42777,41963.89098,42354.74963,42800.74325,43122.68634,42714.13034,43093.8811,43073.28333,42867.45968,42347.45673
GCAM 6.0 NGFS,Delayed transition,World,World,Emissions|CO2,Mt CO2/yr,38705.33329,38516.35775,37916.64275,30656.74526,22949.7751,15374.0741,7987.643179,4035.918378,334.6812729,-1290.670445,-2718.12878,-3669.349415,-4559.957517,-4533.435809,-4502.629117,-4462.367065,-4411.46373
GCAM 6.0 NGFS,Fragmented World,World,World,Emissions|CO2,Mt CO2/yr,38711.73021,38502.57911,37845.53128,34498.05472,30525.54218,26291.96927,22225.24914,20656.40714,18911.08714,18945.3077,19208.75759,19496.21446,19915.52544,20377.88527,20751.03007,21042.82664,20827.64386
GCAM 6.0 NGFS,Low demand,World,World,Emissions|CO2,Mt CO2/yr,38721.70389,36533.37603,27316.55469,20053.05854,12728.90896,5462.256062,-1803.948703,-4517.125209,-5400.444187,-5676.167082,-5862.374196,-6021.777446,-6144.964021,-6282.016579,-6408.39657,-6508.413807,-6594.126479
GCAM 6.0 NGFS,Nationally Determined Contributions (NDCs),World,World,Emissions|CO2,Mt CO2/yr,38705.05823,37991.00706,35251.59496,35051.64422,34653.92786,34028.26012,32932.41827,31606.80444,30087.40635,28523.62668,27106.1404,25823.30216,24530.92568,23237.70262,21966.18982,20749.14621,19476.85445
GCAM 6.0 NGFS,Net Zero 2050,World,World,Emissions|CO2,Mt CO2/yr,38705.35168,36659.52324,27558.9489,20402.39374,13218.39184,6103.127001,-904.7509858,-3690.010228,-4697.3476,-4967.855912,-5214.356325,-5429.516378,-5606.215257,-5804.296146,-5996.509575,-6118.967515,-6232.91522
GCAM 6.0 NGFS,Below 2?C,R5,OECD & EU (R5),Emissions|CO2,Mt CO2/yr,9785.594841,8548.864058,5827.788703,4451.0369,3099.290227,1794.350396,489.8115124,-272.9255816,-948.4330325,-1632.219324,-1659.733017,-1644.221614,-1701.929667,-1737.92455,-1762.094463,-1777.666991,-1796.202732
GCAM 6.0 NGFS,Below 2?C,R5,Asia (R5),Emissions|CO2,Mt CO2/yr,19339.54171,19797.65985,16582.1352,14132.99757,11663.0965,9223.39594,6960.07981,4796.982328,2616.362546,1165.891161,-209.9966623,-1545.633297,-1507.251609,-1502.424238,-1479.995036,-1447.053817,-1412.472533
GCAM 6.0 NGFS,Below 2?C,R5,Reforming Economies (R5),Emissions|CO2,Mt CO2/yr,2207.006024,1956.829965,1301.176073,1024.948861,827.7617487,683.5442674,544.7510647,350.861291,138.4992468,-62.81441825,-198.2135207,-306.3042617,-309.3139198,-312.5012593,-332.6607668,-349.4189858,-354.8742683
GCAM 6.0 NGFS,Below 2?C,R5,Latin America (R5),Emissions|CO2,Mt CO2/yr,2618.804597,2426.31966,1901.729474,1473.265837,970.7249788,476.9967173,-46.05147806,-309.5030461,-553.2931125,-781.0779146,-856.1310443,-903.8387782,-914.6760458,-917.5136262,-920.7361714,-926.6455829,-936.6833763
GCAM 6.0 NGFS,Below 2?C,R5,Middle East & Africa (R5),Emissions|CO2,Mt CO2/yr,4754.384016,4483.091294,3915.818149,3470.881936,2990.486675,2481.218869,1921.578543,1612.071429,1266.759388,876.2649336,478.4503158,31.4085626,40.74564794,72.07430973,117.5593145,168.3878113,223.6971643
GCAM 6.0 NGFS,Current Policies,R5,OECD & EU (R5),Emissions|CO2,Mt CO2/yr,9785.59476,8757.488246,7615.607271,7457.419019,7294.286944,7127.123413,6912.137393,6748.210383,6594.29048,6423.751185,6268.515369,6072.855557,5870.612564,5654.543416,5432.028799,5160.418613,4895.164142
GCAM 6.0 NGFS,Current Policies,R5,Asia (R5),Emissions|CO2,Mt CO2/yr,19339.54369,20424.49085,21307.525,21983.48109,22408.90255,22652.88226,22764.23692,22949.27228,23034.6899,22936.90709,22765.1283,22493.56335,21494.47898,21370.52818,20911.57252,20376.88256,19771.12191
GCAM 6.0 NGFS,Current Policies,R5,Reforming Economies (R5),Emissions|CO2,Mt CO2/yr,2207.0056,2047.894828,1805.925322,1932.75404,2046.977991,2132.444721,2217.498633,2307.562869,2410.805204,2456.31379,2553.64899,2644.311504,2736.418165,2843.432018,2947.297552,2945.937266,2940.945127
GCAM 6.0 NGFS,Current Policies,R5,Latin America (R5),Emissions|CO2,Mt CO2/yr,2618.804378,2579.11631,2497.199233,2518.978457,2561.024631,2618.248017,2658.525324,2728.939055,2772.96502,2766.248492,2744.751249,2712.885922,2673.145236,2610.579064,2536.244178,2532.254949,2504.095863
GCAM 6.0 NGFS,Current Policies,R5,Middle East & Africa (R5),Emissions|CO2,Mt CO2/yr,4754.383856,4707.382223,4687.928568,4955.305795,5282.63376,5615.65518,6004.319057,6545.443176,7151.140384,7771.529074,8468.699343,9199.070014,9939.475391,10614.79842,11246.14027,11851.9663,12236.12969
GCAM 6.0 NGFS,Delayed transition,R5,OECD & EU (R5),Emissions|CO2,Mt CO2/yr,9785.594965,8757.47125,7615.582213,5474.00461,3145.492491,869.4644664,-1358.441742,-1516.451154,-1406.680696,-1596.710765,-1675.834786,-1723.802492,-1736.903409,-1764.716016,-1798.182762,-1826.37561,-1831.349568
GCAM 6.0 NGFS,Delayed transition,R5,Asia (R5),Emissions|CO2,Mt CO2/yr,19339.54324,20424.49075,21310.01434,17790.60637,14049.3432,10392.08034,6915.163072,3739.134008,494.9184841,-277.1909411,-975.5758582,-1255.171844,-1517.606264,-1495.157806,-1463.517431,-1426.448495,-1399.202858
GCAM 6.0 NGFS,Delayed transition,R5,Reforming Economies (R5),Emissions|CO2,Mt CO2/yr,2207.006059,2047.895298,1805.920065,1341.274075,1003.150211,790.4186046,609.3394179,450.9949502,310.0358135,143.0617925,-11.85024477,-130.4619918,-245.636127,-258.7455646,-278.3718041,-297.8747322,-313.1822387
GCAM 6.0 NGFS,Delayed transition,R5,Latin America (R5),Emissions|CO2,Mt CO2/yr,2618.804281,2579.117185,2497.21264,1915.262331,1185.444372,421.5781051,-353.5383237,-497.5991008,-585.7333523,-710.4971549,-805.1748523,-883.0432521,-950.5571033,-951.3849545,-951.4462407,-954.969953,-964.5546697
GCAM 6.0 NGFS,Delayed transition,R5,Middle East & Africa (R5),Emissions|CO2,Mt CO2/yr,4754.38474,4707.383266,4687.913485,4135.597872,3566.344825,2900.532586,2175.120755,1859.839675,1522.141023,1150.666623,750.306961,323.1301644,-109.2546134,-63.43146778,-11.11087911,43.30172478,96.82560445
GCAM 6.0 NGFS,Fragmented World,R5,OECD & EU (R5),Emissions|CO2,Mt CO2/yr,9786.304788,8756.359885,7610.528976,6173.082897,4543.859744,2796.817697,1017.459553,870.4107672,794.6054218,625.3626806,519.3156431,440.4048103,350.439581,271.9907106,186.0798738,110.8544256,40.37060003
GCAM 6.0 NGFS,Fragmented World,R5,Asia (R5),Emissions|CO2,Mt CO2/yr,19342.27199,20419.34969,21282.69212,19550.64299,17336.44921,15028.80697,12831.85553,10808.51916,8585.234957,8238.566444,7924.494903,7600.711393,7446.474343,7404.721265,7361.444795,7329.615676,7226.111591
GCAM 6.0 NGFS,Fragmented World,R5,Reforming Economies (R5),Emissions|CO2,Mt CO2/yr,2208.360684,2044.616484,1787.208897,1853.741707,1924.381194,2011.613228,2118.789056,2107.233191,2077.504718,2006.590935,2011.326293,2016.489835,2017.242792,2028.940993,2034.454518,2032.330294,2002.198332
GCAM 6.0 NGFS,Fragmented World,R5,Latin America (R5),Emissions|CO2,Mt CO2/yr,2619.286118,2577.804449,2491.795474,2188.957239,1818.481879,1359.702985,888.3129395,925.5659268,969.7169941,986.6899391,1024.546914,1059.568662,1089.528993,1107.532158,1111.984054,1106.076054,1064.076257
GCAM 6.0 NGFS,Fragmented World,R5,Middle East & Africa (R5),Emissions|CO2,Mt CO2/yr,4755.506621,4704.448598,4673.305811,4731.629884,4902.370148,5095.028388,5368.832065,5944.678101,6484.025053,7088.097701,7729.073837,8379.039763,9011.83973,9564.700146,10057.06682,10463.95019,10494.88708
GCAM 6.0 NGFS,Low demand,R5,OECD & EU (R5),Emissions|CO2,Mt CO2/yr,9778.179303,8364.720318,5639.167344,3755.364884,1877.838381,97.37157494,-1797.650376,-2081.705013,-2008.857225,-2041.698481,-2041.950813,-2030.332042,-2008.703196,-1995.324792,-1980.463751,-1957.956001,-1935.139997
GCAM 6.0 NGFS,Low demand,R5,Asia (R5),Emissions|CO2,Mt CO2/yr,19338.73078,19503.13951,15185.6713,11548.98741,7884.456383,4240.586579,676.8466843,-714.7106457,-1743.086218,-1777.4973,-1802.541552,-1816.369906,-1815.945279,-1837.448142,-1868.812304,-1879.452804,-1883.565099
GCAM 6.0 NGFS,Low demand,R5,Reforming Economies (R5),Emissions|CO2,Mt CO2/yr,2218.975984,1894.19068,1137.306508,736.7965141,436.1397718,112.8298218,-99.42448167,-466.4490865,-428.7416668,-500.0156741,-542.4528783,-578.3013616,-608.8914617,-613.8971168,-621.1858957,-626.896956,-639.4158322
GCAM 6.0 NGFS,Low demand,R5,Latin America (R5),Emissions|CO2,Mt CO2/yr,2615.998723,2362.632529,1734.428557,1104.92368,397.837409,-299.279437,-988.1082073,-1120.843285,-1095.09167,-1135.391876,-1157.410276,-1177.546792,-1192.461061,-1212.858185,-1232.648979,-1241.921664,-1244.067841
GCAM 6.0 NGFS,Low demand,R5,Middle East & Africa (R5),Emissions|CO2,Mt CO2/yr,4769.819106,4408.692997,3619.980982,2906.986054,2132.637014,1310.747523,404.3876775,-133.4171786,-124.6674071,-221.5637521,-318.0186768,-419.2273452,-518.9630238,-622.4883441,-705.2856404,-802.1863827,-891.9377098
GCAM 6.0 NGFS,Nationally Determined Contributions (NDCs),R5,OECD & EU (R5),Emissions|CO2,Mt CO2/yr,9785.683116,8655.182199,5917.316898,5500.751249,5083.682109,4682.814859,4272.914025,3936.658147,3629.400187,3333.932607,3069.423062,2769.47101,2458.334629,2162.051827,1887.284648,1620.480239,1376.592482
GCAM 6.0 NGFS,Nationally Determined Contributions (NDCs),R5,Asia (R5),Emissions|CO2,Mt CO2/yr,19339.23814,20206.43106,21024.08841,21309.00173,21356.7735,21154.85871,20512.3138,19559.91872,18405.64928,17166.33329,15975.9403,14795.99243,13661.62754,12563.9013,11567.50661,10668.78024,9842.714702
GCAM 6.0 NGFS,Nationally Determined Contributions (NDCs),R5,Reforming Economies (R5),Emissions|CO2,Mt CO2/yr,2207.0332,2004.037092,1570.335849,1559.90948,1566.634254,1572.881213,1579.80959,1589.653698,1611.099747,1604.884028,1658.594432,1624.235895,1573.574078,1534.886848,1491.588261,1440.361698,1386.892571
GCAM 6.0 NGFS,Nationally Determined Contributions (NDCs),R5,Latin America (R5),Emissions|CO2,Mt CO2/yr,2618.783322,2524.897904,2236.322231,2111.63672,1988.879246,1873.850182,1737.853851,1598.248758,1465.639777,1316.072756,1167.524926,1142.048312,1111.305927,1059.792477,995.7524914,927.3226889,840.6995056
GCAM 6.0 NGFS,Nationally Determined Contributions (NDCs),R5,Middle East & Africa (R5),Emissions|CO2,Mt CO2/yr,4754.320447,4600.458806,4503.531574,4570.345041,4657.958744,4743.855158,4829.527005,4922.325122,4975.617353,5102.404003,5234.657682,5491.554516,5726.083506,5917.070158,6024.057817,6092.201348,6029.955188
GCAM 6.0 NGFS,Net Zero 2050,R5,OECD & EU (R5),Emissions|CO2,Mt CO2/yr,9785.596873,8395.72103,5689.496265,3820.392883,1983.607284,210.0522074,-1550.453508,-1815.401522,-1764.136878,-1794.794336,-1798.252081,-1785.137339,-1766.208165,-1771.643013,-1793.053177,-1790.921962,-1777.971755
GCAM 6.0 NGFS,Net Zero 2050,R5,Asia (R5),Emissions|CO2,Mt CO2/yr,19339.55471,19511.95593,15179.53805,11535.09624,7943.076166,4421.073953,900.4772089,-566.3889897,-1609.012287,-1657.472638,-1701.729534,-1729.839687,-1743.671516,-1769.249625,-1804.806068,-1831.1097,-1870.00674
GCAM 6.0 NGFS,Net Zero 2050,R5,Reforming Economies (R5),Emissions|CO2,Mt CO2/yr,2207.00628,1904.235263,1160.437478,785.9221849,486.970185,199.1911464,-60.45684927,-389.559116,-392.4200641,-438.8589821,-486.250092,-529.2554104,-568.1198397,-595.4748411,-629.641203,-657.0285021,-695.0799769
GCAM 6.0 NGFS,Net Zero 2050,R5,Latin America (R5),Emissions|CO2,Mt CO2/yr,2618.809122,2405.846844,1817.357547,1228.05846,537.2146167,-169.1561515,-737.6018491,-903.6271167,-887.7069662,-920.5917751,-947.308907,-972.674309,-993.2355492,-1024.038018,-1049.605467,-1067.640505,-1083.282287
GCAM 6.0 NGFS,Net Zero 2050,R5,Middle East & Africa (R5),Emissions|CO2,Mt CO2/yr,4754.384692,4441.764168,3712.119563,3032.923968,2267.52359,1441.965845,543.2840122,-15.03348435,-44.07140419,-156.138181,-280.8157115,-412.6096319,-534.9801874,-643.8906495,-719.4036604,-772.2668453,-806.5744617
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Africa_Eastern,Emissions|CO2,Mt CO2/yr,209.1554458,199.7654409,184.2563924,173.3358867,156.4667206,132.8907091,107.7447462,93.36451529,79.71258541,61.38220449,6.09150075,-45.87241209,-41.48228906,-43.59775528,-39.41487526,-32.60215697,-17.28835333
GCAM 6.0 NGFS,Below 2?C,GCAM 6.0 NGFS,GCAM 6.0 NGFS|Africa_Northern,Emissions|CO2,Mt CO2/yr,577.7075069,593.056743,539.307691,505.6299529,465.4108529,414.0513966,351.2650244,290.7358442,227.7714097,166.4059698,111.7854552,65.25013856,78.75983943,93.21993425,106.4573773,118.1384924,126.5297827
