Model,Scenario,Region_Category,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
GCAM 6.0 NGFS,Below 2?C,World,World,Price|Carbon,US$2010/t CO2,0,5.587360595,76.67632503,128.2394101,184.5641857,251.4554759,344.2664505,455.9160305,626.4092123,826.1384269,987.1550139,1292.859862,1078.44118,937.5388504,852.0406296,804.8993032,768.6837356
GCAM 6.0 NGFS,Current Policies,World,World,Price|Carbon,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 6.0 NGFS,Delayed transition,World,World,Price|Carbon,US$2010/t CO2,0,0,0,76.19270086,153.9777743,265.3943418,529.2257988,629.8686911,944.5696978,892.2847925,952.2455426,997.4661946,1101.727005,965.7607181,876.5738506,813.9890022,768.9020182
GCAM 6.0 NGFS,Fragmented World,World,World,Price|Carbon,US$2010/t CO2,0,0.2518106599,0.9995728265,37.1716015,70.29739732,98.43544506,133.2191367,150.6178909,183.1105819,160.6974753,148.7818608,144.4945055,133.4239299,126.9345565,120.1646672,113.1031208,107.7176609
GCAM 6.0 NGFS,Low demand,World,World,Price|Carbon,US$2010/t CO2,1.285641014,12.32804358,94.95663493,183.5922297,303.6179972,598.5409235,1076.160819,873.5271376,832.030699,760.0768767,748.7662331,778.4099603,824.5904428,838.9993336,836.3297367,819.7802225,795.4224815
GCAM 6.0 NGFS,Nationally Determined Contributions (NDCs),World,World,Price|Carbon,US$2010/t CO2,0,5.020261261,33.36936976,38.27761976,48.91422478,54.17847775,60.43329198,66.67060243,74.2371583,81.12267237,86.92625425,91.75743397,89.96814198,99.15184632,107.6540169,112.8791985,116.8396549
GCAM 6.0 NGFS,Net Zero 2050,World,World,Price|Carbon,US$2010/t CO2,0,12.45428334,102.0190505,198.3094765,336.746266,658.8687735,1260.065082,1167.458218,1164.486112,1061.788687,1037.888251,1075.115831,1147.295228,1168.52618,1158.794724,1179.946396,1194.769983
GCAM 6.0 NGFS,Below 2?C,R5,OECD & EU (R5),Price|Carbon,US$2010/t CO2,0,5.14320016,83.18728394,130.0623393,203.0102912,290.4617728,401.7260948,473.1873011,638.9837863,900.3250142,1025.518745,1320.384422,1074.584305,925.8965269,831.7082772,773.9487971,724.7179737
GCAM 6.0 NGFS,Below 2?C,R5,Asia (R5),Price|Carbon,US$2010/t CO2,0,4.34104792,70.55162098,113.6712172,154.7898168,207.5245092,292.5007433,445.3051722,644.9817676,824.4060061,995.3888067,1312.468871,1103.044136,953.1674467,868.41301,827.2993987,797.2247124
GCAM 6.0 NGFS,Below 2?C,R5,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,0,8.636251739,69.80955434,137.9389042,206.6064313,279.8079429,371.3765095,451.2898164,592.4576975,796.9139257,975.0868288,1280.214032,1072.613263,941.3556688,858.5102532,809.9142924,771.013545
GCAM 6.0 NGFS,Below 2?C,R5,Latin America (R5),Price|Carbon,US$2010/t CO2,0,7.96699738,94.82591785,169.723745,240.4233366,311.4735274,406.693444,495.9607943,645.6990177,854.5433588,1004.766379,1316.738923,1097.238517,956.9381935,862.7488178,805.0827003,761.5651602
GCAM 6.0 NGFS,Below 2?C,R5,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,0,7.852696245,70.70680168,141.424692,204.8607027,276.0193525,361.6913848,440.1759023,566.1737559,740.5282909,925.6732297,1224.189079,1033.771079,913.8659492,837.8391869,794.478759,762.1560982
GCAM 6.0 NGFS,Current Policies,R5,OECD & EU (R5),Price|Carbon,US$2010/t CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
